,timestamp,balance_trade,balance_trade_growth,eurrub,average_provision_of_build_contract,micex_rgbi_tr,micex_cbi_tr,deposits_rate,mortgage_value,mortgage_rate,income_per_cap,rent_price_4.room_bus,museum_visitis_per_100_cap,bandwidth_sports,apartment_build
1,1/1/2010,11.875,32.9,40.6793,5,131.58,174.91,4.1,142968,13.72,30789.2,139.41,993,269768,22825
2,1/2/2010,11.875,32.9,42.5526,5,130.75,175.15,4.5,142968,13.72,30789.2,139.41,993,269768,22825
3,1/3/2010,11.875,32.9,39.1225,5,132.28,178.66,4.2,142968,13.72,30789.2,139.41,993,269768,22825
4,1/4/2010,9.085,32.9,43.4054,5,132.41,183.44,4.4,142968,13.72,30789.2,142.85,993,269768,22825
5,1/5/2010,11.875,32.9,42.96,5,133.02,183.44,4.2,142968,13.72,30789.2,139.41,993,269768,22825
6,1/6/2010,11.875,32.9,42.9138,5,132.26,184.87,4.1,142968,13.72,30789.2,139.41,993,269768,22825
7,1/7/2010,11.875,32.9,42.7143,5,132.8,187.97,4,142968,13.72,30789.2,139.41,993,269768,22825
8,1/8/2010,11.875,32.9,42.9359,5,132.14,187.97,4.2,142968,13.72,30789.2,139.41,993,269768,22825
9,1/9/2010,7.507,32.9,42.9359,5,132.96,190.77,4.1,142968,13.72,30789.2,174.65,993,269768,22825
10,1/10/2010,11.875,32.9,42.9359,5,132.51,192.39,4.1,142968,13.72,30789.2,139.41,993,269768,22825
11,1/11/2010,11.875,32.9,42.5676,5,130.32,193.56,4.4,142968,13.72,30789.2,139.41,993,269768,22825
12,1/12/2010,11.875,32.9,42.8065,5,129.02,194.05,5.7,142968,13.72,30789.2,139.41,993,288177,22825
13,1/13/2010,11.875,32.9,42.9279,5,129.68,172.88,4,142968,13.72,30789.2,139.41,993,269768,22825
14,1/14/2010,11.875,32.9,42.6852,5,128.88,173.43,5.5,142968,13.72,30789.2,139.41,993,288177,22825
15,1/15/2010,11.875,32.9,42.5022,5,129.87,173.55,4.5,142968,13.72,30789.2,139.41,993,269768,22825
16,1/16/2010,11.875,32.9,42.5022,5,129.87,173.55,4.5,142968,13.72,30789.2,139.41,993,269768,22825
17,1/17/2010,11.875,32.9,42.5022,5,129.87,173.55,4.5,142968,13.72,30789.2,139.41,993,269768,22825
18,1/18/2010,11.875,32.9,42.6,5,130.12,173.83,4.5,142968,13.72,30789.2,139.41,993,269768,22825
19,1/19/2010,11.875,32.9,42.3205,5,130.3,174.17,4.2,142968,13.72,30789.2,139.41,993,269768,22825
20,1/20/2010,11.875,32.9,42.004,5,131.02,174.67,4.1,142968,13.72,30789.2,139.41,993,269768,22825
21,1/21/2010,11.875,32.9,41.956,5,131.17,174.85,4.1,142968,13.72,30789.2,139.41,993,269768,22825
22,1/22/2010,11.875,32.9,42.2582,5,131.03,174.72,4.1,142968,13.72,30789.2,139.41,993,269768,22825
23,1/23/2010,11.875,32.9,42.2582,5,131.03,174.72,4.2,142968,13.72,30789.2,139.41,993,269768,22825
24,1/24/2010,11.875,32.9,42.2582,5,131.03,174.72,4.1,142968,13.72,30789.2,139.41,993,269768,22825
25,1/25/2010,11.875,32.9,42.6453,5,130.75,174.91,4.5,142968,13.72,30789.2,139.41,993,269768,22825
26,1/26/2010,11.875,32.9,42.7602,5,130.93,174.67,4.4,142968,13.72,30789.2,139.41,993,269768,22825
27,1/27/2010,11.875,32.9,42.5526,5,130.75,174.67,4.4,142968,13.72,30789.2,139.41,993,269768,22825
28,1/28/2010,11.875,32.9,42.4171,5,131.22,174.93,4.2,142968,13.72,30789.2,139.41,993,269768,22825
29,1/29/2010,11.875,32.9,42.1477,5,130.67,175,4.5,142968,13.72,30789.2,139.41,993,269768,22825
30,1/30/2010,11.875,32.9,42.1477,5,130.67,175,4.4,142968,13.72,30789.2,139.41,993,269768,22825
31,1/31/2010,11.875,32.9,42.1477,5,130.67,175,4.5,142968,13.72,30789.2,139.41,993,269768,22825
32,2/1/2010,18.114,32.9,42.2514,5,130.69,175,4.4,8016,13.93,42083.2,189.76,993,269768,22825
33,2/2/2010,18.114,32.9,42.0406,5,130.85,175.49,5.63,8016,13.93,42083.2,189.76,993,288177,22825
34,2/3/2010,18.114,32.9,41.7256,5,131.35,179.07,5.63,8016,13.93,42083.2,189.76,993,288177,22825
35,2/4/2010,18.114,32.9,41.5211,5,131.07,183.62,5.63,8016,13.93,42083.2,189.76,993,288177,22825
36,2/5/2010,18.114,32.9,41.3927,5,131.07,183.62,5.71,8016,13.93,42083.2,189.76,993,288177,22825
37,2/6/2010,18.114,32.9,41.3927,5,131.07,184.98,5.6,8016,13.93,42083.2,189.76,993,288177,22825
38,2/7/2010,18.114,32.9,41.3927,5,131.07,187.91,5.54,8016,13.93,42083.2,189.76,993,288177,22825
39,2/8/2010,18.114,32.9,41.8054,5,131.3,189.76,5.54,8016,13.93,42083.2,189.76,993,288177,22825
40,2/9/2010,18.114,32.9,41.8947,5,131.3,190.92,5.71,8016,13.93,42083.2,189.76,993,288177,22825
41,2/10/2010,18.114,32.9,41.6362,5,131.17,190.92,5.54,8016,13.93,42083.2,189.76,993,288177,22825
42,2/11/2010,18.114,32.9,41.2714,5,131.17,193.6,5.54,8016,13.93,42083.2,189.76,993,288177,22825
43,2/12/2010,18.114,32.9,41.1596,5,131.23,194.07,5.6,8016,13.93,42083.2,189.76,993,288177,22825
44,2/13/2010,18.114,32.9,41.1596,5,131.23,194.07,5.71,8016,13.93,42083.2,189.76,993,288177,22825
45,2/14/2010,18.114,32.9,41.1596,5,131.23,194.07,5.63,8016,13.93,42083.2,189.76,993,288177,22825
46,2/15/2010,18.114,32.9,41.1289,5,131.2,176.79,5.63,8016,13.93,42083.2,189.76,993,288177,22825
47,2/16/2010,18.114,32.9,41.2927,5,131.26,177,5.54,8016,13.93,42083.2,189.76,993,288177,22825
48,2/17/2010,18.114,32.9,41.0084,5,131.39,177.3,5.54,8016,13.93,42083.2,189.76,993,288177,22825
49,2/18/2010,18.114,32.9,40.816,5,131.41,177.49,5.54,8016,13.93,42083.2,189.76,993,288177,22825
50,2/19/2010,18.114,32.9,40.7044,5,131.55,177.85,5.54,8016,13.93,42083.2,189.76,993,288177,22825
51,2/20/2010,18.114,32.9,40.7044,5,131.55,177.85,5.6,8016,13.93,42083.2,189.76,993,288177,22825
52,2/21/2010,18.114,32.9,40.7044,5,131.55,177.85,5.6,8016,13.93,42083.2,189.76,993,288177,22825
53,2/22/2010,18.114,32.9,40.7593,5,131.55,177.85,5.63,8016,13.93,42083.2,189.76,993,288177,22825
54,2/23/2010,18.114,32.9,40.5527,5,131.55,177.85,5.6,8016,13.93,42083.2,189.76,993,288177,22825
55,2/24/2010,18.114,32.9,40.6713,5,131.3,178.19,5.54,8016,13.93,42083.2,189.76,993,288177,22825
56,2/25/2010,18.114,32.9,40.6347,5,131.46,177.8,5.71,8016,13.93,42083.2,189.76,993,288177,22825
57,2/26/2010,18.114,32.9,40.7383,5,131.51,178.29,5.54,8016,13.93,42083.2,189.76,993,288177,22825
58,2/27/2010,18.114,32.9,40.7383,5,131.62,178.45,5.54,8016,13.93,42083.2,189.76,993,288177,22825
59,2/28/2010,18.114,32.9,40.7383,5,131.62,178.45,5.54,8016,13.93,42083.2,189.76,993,288177,22825
60,3/1/2010,16.704,32.9,40.5562,5,131.78,178.45,4,23154,13.64,40617.7,189.76,993,269768,22825
61,3/2/2010,16.704,32.9,40.5795,5,132.19,175.77,4,23154,13.64,40617.7,189.76,993,269768,22825
62,3/3/2010,16.704,32.9,40.8204,5,132.86,179.43,4.1,23154,13.64,40617.7,189.76,993,269768,22825
63,3/4/2010,16.704,32.9,40.5701,5,133.16,179.43,4.2,23154,13.64,40617.7,189.76,993,269768,22825
64,3/5/2010,16.704,32.9,40.5358,5,133.16,179.43,4.2,23154,13.64,40617.7,189.76,993,269768,22825
65,3/6/2010,16.704,32.9,40.5358,5,133.16,185.3,4.2,23154,13.64,40617.7,189.76,993,269768,22825
66,3/7/2010,16.704,32.9,40.5358,5,133.16,185.3,4.1,23154,13.64,40617.7,189.76,993,269768,22825
67,3/8/2010,16.704,32.9,40.5818,5,133.16,189.86,4.2,23154,13.64,40617.7,189.76,993,269768,22825
68,3/9/2010,16.704,32.9,40.461,5,133.07,190.97,4.1,23154,13.64,40617.7,189.76,993,269768,22825
69,3/10/2010,16.704,32.9,40.3499,5,133.14,190.97,4.1,23154,13.64,40617.7,189.76,993,269768,22825
70,3/11/2010,16.704,32.9,40.2839,5,133.42,193.69,4.2,23154,13.64,40617.7,189.76,993,269768,22825
71,3/12/2010,16.704,32.9,40.3008,5,133.75,194.08,4.1,23154,13.64,40617.7,189.76,993,269768,22825
72,3/13/2010,16.704,32.9,40.3008,5,133.75,194.08,4.1,23154,13.64,40617.7,189.76,993,269768,22825
73,3/14/2010,16.704,32.9,40.3008,5,133.75,194.08,4.2,23154,13.64,40617.7,189.76,993,269768,22825
74,3/15/2010,16.704,32.9,40.2498,5,133.86,181.02,4.1,23154,13.64,40617.7,189.76,993,269768,22825
75,3/16/2010,16.704,32.9,40.2711,5,131.85,181.45,4,23154,13.64,40617.7,189.76,993,269768,22825
76,3/17/2010,16.704,32.9,40.122,5,134.33,181.93,4,23154,13.64,40617.7,189.76,993,269768,22825
77,3/18/2010,16.704,32.9,39.9264,5,134.44,182.1,4.1,23154,13.64,40617.7,189.76,993,269768,22825
78,3/19/2010,16.704,32.9,39.7221,5,134.6,182.25,4,23154,13.64,40617.7,189.76,993,269768,22825
79,3/20/2010,16.704,32.9,39.7221,5,134.6,182.25,4.1,23154,13.64,40617.7,189.76,993,269768,22825
80,3/21/2010,16.704,32.9,39.7221,5,134.6,182.25,4,23154,13.64,40617.7,189.76,993,269768,22825
81,3/22/2010,16.704,32.9,40.0386,5,134.4,182.42,4,23154,13.64,40617.7,189.76,993,269768,22825
82,3/23/2010,16.704,32.9,39.8806,5,134.58,182.48,4.1,23154,13.64,40617.7,189.76,993,269768,22825
83,3/24/2010,16.704,32.9,39.5918,5,134.44,182.54,4.1,23154,13.64,40617.7,189.76,993,269768,22825
84,3/25/2010,16.704,32.9,39.3506,5,134.47,182.59,4.1,23154,13.64,40617.7,189.76,993,269768,22825
85,3/26/2010,16.704,32.9,39.6604,5,134.6,182.69,4.2,23154,13.64,40617.7,189.76,993,269768,22825
86,3/27/2010,16.704,32.9,39.6604,5,134.6,182.69,4.2,23154,13.64,40617.7,189.76,993,269768,22825
87,3/28/2010,16.704,32.9,39.6604,5,134.6,182.69,4.1,23154,13.64,40617.7,189.76,993,269768,22825
88,3/29/2010,16.704,32.9,39.706,5,134.35,182.93,4.1,23154,13.64,40617.7,189.76,993,269768,22825
89,3/30/2010,16.704,32.9,39.5955,5,134.37,183,4.1,23154,13.64,40617.7,189.76,993,269768,22825
90,3/31/2010,16.704,32.9,39.8159,5,134.64,183.1,4.2,23154,13.64,40617.7,189.76,993,269768,22825
91,4/1/2010,16.604,14.1,39.7159,4,134.92,183.1,4.2,46163,13.42,49346.7,180.12,993,269768,22825
92,4/2/2010,16.604,14.1,39.4781,4,135.16,175.88,4.1,46163,13.42,49346.7,180.12,993,269768,22825
93,4/3/2010,16.604,14.1,39.4781,4,135.16,179.58,4.2,46163,13.42,49346.7,180.12,993,269768,22825
94,4/4/2010,16.604,14.1,39.4781,4,135.16,179.58,4.1,46163,13.42,49346.7,180.12,993,269768,22825
95,4/5/2010,16.604,14.1,39.401,4,135.27,185.07,4.1,46163,13.42,49346.7,180.12,993,329348,22825
96,4/6/2010,16.604,14.1,39.2371,4,135.39,185.37,4.1,46163,13.42,49346.7,180.12,993,329348,22825
97,4/7/2010,16.604,14.1,39.1421,4,135.4,185.37,4.1,46163,13.42,49346.7,180.12,993,329348,22825
98,4/8/2010,16.604,14.1,39.2771,4,135.35,189.9,4.2,46163,13.42,49346.7,180.12,993,329348,22825
99,4/9/2010,16.604,14.1,39.2564,4,133.92,189.9,4.1,46163,13.42,49346.7,180.12,993,269768,22825
100,4/10/2010,16.604,14.1,39.2564,4,133.92,192.43,4,46163,13.42,49346.7,180.12,993,269768,22825
101,4/11/2010,16.604,14.1,39.2564,4,133.92,192.43,4.1,46163,13.42,49346.7,180.12,993,269768,22825
102,4/12/2010,16.604,14.1,39.4051,4,135.44,192.43,4.1,46163,13.42,49346.7,180.12,993,329348,22825
103,4/13/2010,16.604,14.1,39.5008,4,135.42,184.67,4.1,46163,13.42,49346.7,180.12,993,329348,22825
104,4/14/2010,16.604,14.1,39.5233,4,135.38,184.79,4,46163,13.42,49346.7,180.12,993,329348,22825
105,4/15/2010,16.604,14.1,39.3691,4,135.34,184.96,4.4,46163,13.42,49346.7,180.12,993,329348,22825
106,4/16/2010,16.604,14.1,39.2524,4,135.14,185.12,4.2,46163,13.42,49346.7,180.12,993,269768,22825
107,4/17/2010,16.604,14.1,39.2524,4,135.14,185.12,4,46163,13.42,49346.7,180.12,993,269768,22825
108,4/18/2010,16.604,14.1,39.2524,4,135.14,185.12,4,46163,13.42,49346.7,180.12,993,269768,22825
109,4/19/2010,16.604,14.1,39.3214,4,134.98,185.1,4.1,46163,13.42,49346.7,180.12,993,269768,22825
110,4/20/2010,16.604,14.1,39.1532,4,135.03,185.1,4.2,46163,13.42,49346.7,180.12,993,269768,22825
111,4/21/2010,16.604,14.1,39.0252,4,134.71,185.01,4.2,46163,13.42,49346.7,180.12,993,269768,22825
