Feature importance measure computer by forestFeatureImportance.ipynb on the macroCleanEngineeredTest.csv set:

Feature ranking:
1. floor (0.049212)
2. full_sq (0.045099)
3. life_sq (0.032993)
4. build_year (0.025520)
5. max_floor (0.023486)
6. num_room (0.023150)
7. state (0.022381)
8. kitch_sq (0.022314)
9. material (0.017372)
10. cafe_avg_price_500 (0.016482)
11. cafe_sum_500_max_price_avg (0.015873)
12. cafe_sum_500_min_price_avg (0.015271)
13. hospital_beds_raion (0.013476)
14. cafe_sum_1000_min_price_avg (0.009283)
15. cafe_sum_1000_max_price_avg (0.009250)
16. cafe_avg_price_1000 (0.009093)
17. cafe_sum_1500_min_price_avg (0.007036)
18. cafe_avg_price_1500 (0.006970)
19. school_quota (0.006761)
20. preschool_quota (0.006253)
21. cafe_sum_1500_max_price_avg (0.006226)
22. green_zone_km (0.004953)
23. public_transport_station_km (0.004837)
24. build_count_1921-1945 (0.004782)
25. school_km (0.004719)
26. public_transport_station_min_walk (0.004685)
27. catering_km (0.004649)
28. build_count_1971-1995 (0.004585)
29. raion_build_count_with_material_info (0.004551)
30. preschool_km (0.004444)
31. industrial_km (0.004435)
32. build_count_after_1995 (0.004432)
33. office_km (0.004337)
34. water_km (0.004334)
35. cafe_sum_2000_min_price_avg (0.004333)
36. build_count_frame (0.004320)
37. kindergarten_km (0.004311)
38. market_shop_km (0.004291)
39. cafe_sum_2000_max_price_avg (0.004290)
40. build_count_1946-1970 (0.004270)
41. metro_min_avto (0.004269)
42. church_synagogue_km (0.004244)
43. build_count_panel (0.004235)
44. build_count_block (0.004157)
45. build_count_slag (0.004154)
46. green_part_3000 (0.004059)
47. raion_build_count_with_builddate_info (0.004059)
48. build_count_brick (0.004047)
49. prom_part_5000 (0.004040)
50. cafe_sum_3000_max_price_avg (0.004038)
51. green_part_2000 (0.004022)
52. metro_km_walk (0.004020)
53. railroad_station_avto_min (0.004012)
54. prom_part_1500 (0.004008)
55. cafe_avg_price_2000 (0.003995)
56. big_road1_km (0.003994)
57. fitness_km (0.003977)
58. radiation_km (0.003919)
59. cemetery_km (0.003917)
60. hospice_morgue_km (0.003916)
61. park_km (0.003914)
62. public_healthcare_km (0.003914)
63. workplaces_km (0.003897)
64. metro_km_avto (0.003888)
65. cafe_avg_price_3000 (0.003882)
66. shopping_centers_km (0.003873)
67. build_count_monolith (0.003859)
68. swim_pool_km (0.003858)
69. build_count_foam (0.003851)
70. metro_min_walk (0.003851)
71. basketball_km (0.003849)
72. ts_km (0.003847)
73. zd_vokzaly_avto_km (0.003837)
74. green_part_500 (0.003833)
75. additional_education_km (0.003787)
76. railroad_station_walk_min (0.003767)
77. railroad_km (0.003751)
78. sadovoe_km (0.003747)
79. green_part_1500 (0.003727)
80. stadium_km (0.003725)
